main_category,feature,frequency,percentage
Home & Kitchen,Finish Type,18,8.53
Home & Kitchen,Shape,17,8.06
Home & Kitchen,Material Feature,17,8.06
Home & Kitchen,Net Quantity,17,8.06
Home & Kitchen,Display Type,16,7.58
Home & Kitchen,Mounting Type,12,5.69
Home & Kitchen,Power Source,12,5.69
Home & Kitchen,Manufacturer,11,5.21
Home & Kitchen,Number of Items,11,5.21
Home & Kitchen,Blade Material,10,4.74
Home & Kitchen,Weight Limit,9,4.27
Home & Kitchen,ASIN,9,4.27
Home & Kitchen,Packer,9,4.27
Home & Kitchen,Included Components,9,4.27
Home & Kitchen,Country of Origin,8,3.79
Home & Kitchen,Item Dimensions LxWxH,8,3.79
Home & Kitchen,Generic Name,8,3.79
Home & Kitchen,Best Sellers Rank,8,3.79
Home & Kitchen,Bottle Type,8,3.79
Home & Kitchen,Opening Mechanism,8,3.79
Home & Kitchen,Room Type,8,3.79
Home & Kitchen,Specific Uses For Product,7,3.32
Home & Kitchen,Item model number,7,3.32
Home & Kitchen,Shelf Type,7,3.32
Home & Kitchen,Handle Material,7,3.32
Home & Kitchen,Customer Reviews,6,2.84
Home & Kitchen,Importer,6,2.84
Home & Kitchen,Electric fan design,6,2.84
Home & Kitchen,Date First Available,5,2.37
Home & Kitchen,Blade Edge,5,2.37
Home & Kitchen,Blade Length,5,2.37
Home & Kitchen,Theme,5,2.37
Home & Kitchen,Bulb Base,5,2.37
Home & Kitchen,Wattage,4,1.9
Home & Kitchen,Base Material,4,1.9
Home & Kitchen,Lamp Type,4,1.9
Home & Kitchen,Number of Sets,3,1.42
Home & Kitchen,Product Care Instructions,3,1.42
Home & Kitchen,Shade Colour,3,1.42
Home & Kitchen,Frame Material,3,1.42
Home & Kitchen,Number of Pieces,2,0.95
Home & Kitchen,Indoor/Outdoor Usage,2,0.95
Home & Kitchen,Towel form type,2,0.95
Home & Kitchen,Orientation,2,0.95
Home & Kitchen,Closure Type,2,0.95
Home & Kitchen,Number of Shelves,2,0.95
Home & Kitchen,Light fixture form,2,0.95
Home & Kitchen,Furniture Finish,2,0.95
Home & Kitchen,Light Type,2,0.95
Home & Kitchen,Bulb Shape Size,2,0.95
Home & Kitchen,Incandescent Equivalent Wattage,2,0.95
Home & Kitchen,Sheet Count,2,0.95
Home & Kitchen,Item dimensions L x W x H,2,0.95
Home & Kitchen,Back Style,1,0.47
Home & Kitchen,Price,1,0.47
Home & Kitchen,Easy Installation,1,0.47
Home & Kitchen,Batteries,1,0.47
Home & Kitchen,Batteries Included,1,0.47
Home & Kitchen,Material Type,1,0.47
Home & Kitchen,Fuel Type,1,0.47
Home & Kitchen,Scent,1,0.47
Home & Kitchen,OS,1,0.47
Home & Kitchen,Model Name,1,0.47
Home & Kitchen,Age Range (Description),1,0.47
Home & Kitchen,Coffee Maker Type,1,0.47
Home & Kitchen,Bowl Capacity,1,0.47
Home & Kitchen,Operation Mode,1,0.47
Home & Kitchen,Is Electric,1,0.47
Home & Kitchen,Number Of Discs,1,0.47
Home & Kitchen,Controls Type,1,0.47
Home & Kitchen,Model,1,0.47
Home & Kitchen,Manufacturer Part Number,1,0.47
Home & Kitchen,Special Features,1,0.47
Home & Kitchen,Is Dishwasher Safe,1,0.47
Home & Kitchen,Seat Material Type,1,0.47
Home & Kitchen,Switch Type,1,0.47
Home & Kitchen,Back Material Type,1,0.47
Home & Kitchen,Occasion,1,0.47
Home & Kitchen,Model number,1,0.47
Home & Kitchen,Number of Memory Sticks,1,0.47
Home & Kitchen,Item Height,1,0.47
Home & Kitchen,Item Width,1,0.47
Home & Kitchen,Are batteries included?,1,0.47
Home & Kitchen,Ply Rating,1,0.47
Home & Kitchen,Tray Type,1,0.47
Home & Kitchen,Item Diameter,1,0.47
Home & Kitchen,Item Form,1,0.47
Home & Kitchen,Grit Type,1,0.47
Home Improvement,Brand,62,75.61
Home Improvement,Material,62,75.61
Home Improvement,Colour,61,74.39
Home Improvement,Product Dimensions,41,50.0
Home Improvement,Special Feature,30,36.59
Home Improvement,Finish Type,14,17.07
Home Improvement,Number of Items,14,17.07
Home Improvement,Mounting Type,12,14.63
Home Improvement,Towel form type,12,14.63
Home Improvement,Shelf Type,11,13.41
Home Improvement,Room Type,10,12.2
Home Improvement,Number of Shelves,10,12.2
Home Improvement,Recommended Uses For Product,10,12.2
Home Improvement,Size,9,10.98
Home Improvement,Item Weight,9,10.98
Home Improvement,Net Quantity,8,9.76
Home Improvement,Surface Recommendation,7,8.54
Home Improvement,Handle Material,7,8.54
Home Improvement,Manufacturer,6,7.32
Home Improvement,Light Source Type,4,4.88
Home Improvement,Power Source,4,4.88
Home Improvement,Head Material,4,4.88
Home Improvement,Sheet Count,4,4.88
Home Improvement,Included Components,4,4.88
Home Improvement,Shape,3,3.66
Home Improvement,Handle Type,3,3.66
Home Improvement,Item model number,3,3.66
Home Improvement,ASIN,3,3.66
Home Improvement,Packer,3,3.66
Home Improvement,Importer,3,3.66
Home Improvement,Item Dimensions LxWxH,3,3.66
Home Improvement,Generic Name,3,3.66
Home Improvement,Best Sellers Rank,3,3.66
Home Improvement,Thread Size,3,3.66
Home Improvement,Specific Uses For Product,3,3.66
Home Improvement,Installation Type,2,2.44
Home Improvement,Capacity,2,2.44
Home Improvement,Style,2,2.44
Home Improvement,Ply Rating,2,2.44
Home Improvement,Number of Packs,2,2.44
Home Improvement,Number of Handles,2,2.44
Home Improvement,Specification Met,2,2.44
Home Improvement,Country of Origin,2,2.44
Home Improvement,Number of Pieces,1,1.22
Home Improvement,Customer Reviews,1,1.22
Home Improvement,Price,1,1.22
Home Improvement,Durable,1,1.22
Home Improvement,Fittings Included,1,1.22
Home Improvement,Rust Proof,1,1.22
Home Improvement,Lock Type,1,1.22
Home Improvement,Model Name,1,1.22
Home Improvement,UPC,1,1.22
Home Improvement,Thread Pitch,1,1.22
Home Improvement,Blade Material,1,1.22
Home Improvement,Material Type Free,1,1.22
Home Improvement,Compatible Devices,1,1.22
Home Improvement,Imported By,1,1.22
Home Improvement,Package Information,1,1.22
Home Improvement,Item Form,1,1.22
Industrial & Scientific,Brand,10,90.91
Industrial & Scientific,Colour,9,81.82
Industrial & Scientific,Product Dimensions,7,63.64
Industrial & Scientific,Item Weight,6,54.55
Industrial & Scientific,Special Feature,5,45.45
Industrial & Scientific,Customer Reviews,4,36.36
Industrial & Scientific,Manufacturer,4,36.36
Industrial & Scientific,Country of Origin,4,36.36
Industrial & Scientific,Model number,4,36.36
Industrial & Scientific,Number of Memory Sticks,4,36.36
Industrial & Scientific,Item model number,4,36.36
Industrial & Scientific,Item Height,4,36.36
Industrial & Scientific,Item Width,4,36.36
Industrial & Scientific,Included Components,4,36.36
Industrial & Scientific,ASIN,4,36.36
Industrial & Scientific,Best Sellers Rank,4,36.36
Industrial & Scientific,Date First Available,4,36.36
Industrial & Scientific,Packer,4,36.36
Industrial & Scientific,Item Dimensions LxWxH,4,36.36
Industrial & Scientific,Net Quantity,4,36.36
Industrial & Scientific,Material,4,36.36
Industrial & Scientific,Generic Name,3,27.27
Industrial & Scientific,Importer,2,18.18
Industrial & Scientific,Power Source,2,18.18
Industrial & Scientific,Price,1,9.09
Industrial & Scientific,Operating Voltage,1,9.09
Industrial & Scientific,Application,1,9.09
Industrial & Scientific,Automation Use,1,9.09
Industrial & Scientific,Color / Output,1,9.09
Industrial & Scientific,Display,1,9.09
Industrial & Scientific,Specific Product Use,1,9.09
Industrial & Scientific,Are batteries included?,1,9.09
Industrial & Scientific,Battery type,1,9.09
Industrial & Scientific,Age Range (Description),1,9.09
Industrial & Scientific,Shelf Type,1,9.09
Industrial & Scientific,Outer Material,1,9.09
Industrial & Scientific,Product Care Instructions,1,9.09
Industrial & Scientific,Shape,1,9.09
Industrial & Scientific,Fill Material,1,9.09
Industrial & Scientific,Size,1,9.09
Industrial & Scientific,Sheet Count,1,9.09
Industrial & Scientific,Ply Rating,1,9.09
Industrial & Scientific,Recommended Uses For Product,1,9.09
Industrial & Scientific,Style,1,9.09
Industrial & Scientific,Item dimensions L x W x H,1,9.09
Jewellery,Country of Origin,15,93.75
Jewellery,Material type,15,93.75
Jewellery,Metal type,13,81.25
Jewellery,Gem type,13,81.25
Jewellery,Clasp type,12,75.0
Jewellery,Occasion type,12,75.0
Jewellery,Chain type,8,50.0
Jewellery,Size,4,25.0
Jewellery,Item type name,3,18.75
Jewellery,Brand,1,6.25
Jewellery,Colour,1,6.25
Jewellery,Age Range (Description),1,6.25
Jewellery,Style,1,6.25
Jewellery,Embellishment,1,6.25
Jewellery,Material,1,6.25
Jewellery,Theme,1,6.25
Jewellery,Customer Reviews,1,6.25
Jewellery,Price,1,6.25
Jewellery,Sturdy Grip,1,6.25
Jewellery,Easy to Wear,1,6.25
Jewellery,Cute and Stylish,1,6.25
Jewellery,Soft and Durable,1,6.25
Jewellery,Gift Ready Packaging,1,6.25
Jewellery,Assorted Hair Accessories,1,6.25
Jewellery,Product Dimensions,1,6.25
Jewellery,Date First Available,1,6.25
Jewellery,Manufacturer,1,6.25
Jewellery,ASIN,1,6.25
Jewellery,Item part number,1,6.25
Jewellery,Packer,1,6.25
Jewellery,Importer,1,6.25
Jewellery,Item Weight,1,6.25
Jewellery,Item Dimensions LxWxH,1,6.25
Jewellery,Net Quantity,1,6.25
Jewellery,Generic Name,1,6.25
Jewellery,Best Sellers Rank,1,6.25
Jewellery,Collection,1,6.25
Jewellery,Ring size,1,6.25
Musical Instruments,Colour,4,100.0
Musical Instruments,Brand,4,100.0
Musical Instruments,Ear Placement,2,50.0
Musical Instruments,Form Factor,2,50.0
Musical Instruments,Impedance,2,50.0
Musical Instruments,Material,1,25.0
Musical Instruments,Mounting Type,1,25.0
Musical Instruments,Style,1,25.0
Musical Instruments,Weight Limit,1,25.0
Musical Instruments,Special Feature,1,25.0
Musical Instruments,Recommended Uses For Product,1,25.0
Musical Instruments,Item dimensions L x W x H,1,25.0
Musical Instruments,Connectivity Technology,1,25.0
Musical Instruments,Compatible Devices,1,25.0
Occupational Health & Safety Products,Brand,1,100.0
Occupational Health & Safety Products,Colour,1,100.0
Occupational Health & Safety Products,Product Benefits,1,100.0
Occupational Health & Safety Products,Use for,1,100.0
Occupational Health & Safety Products,Material,1,100.0
Occupational Health & Safety Products,Item Form,1,100.0
Occupational Health & Safety Products,Special Feature,1,100.0
Occupational Health & Safety Products,Net Quantity,1,100.0
Office Products,Brand,8,100.0
Office Products,Material,7,87.5
Office Products,Colour,7,87.5
Office Products,Special Feature,5,62.5
Office Products,Finish Type,4,50.0
Office Products,Specific Uses For Product,3,37.5
Office Products,Product Dimensions,3,37.5
Office Products,Item Weight,3,37.5
Office Products,Connectivity Technology,1,12.5
Office Products,Pressure Sensitivity,1,12.5
Office Products,Operating System,1,12.5
Office Products,Compatible Devices,1,12.5
Office Products,Manufacturer,1,12.5
Office Products,Model,1,12.5
Office Products,Batteries,1,12.5
Office Products,Item model number,1,12.5
Office Products,Manufacturer Part Number,1,12.5
Office Products,Assembly Required,1,12.5
Office Products,Special Features,1,12.5
Office Products,Voltage,1,12.5
Office Products,Wattage,1,12.5
Office Products,Country of Origin,1,12.5
Office Products,ASIN,1,12.5
Office Products,Customer Reviews,1,12.5
Office Products,Best Sellers Rank,1,12.5
Office Products,Date First Available,1,12.5
Office Products,Packer,1,12.5
Office Products,Importer,1,12.5
Office Products,Item Dimensions LxWxH,1,12.5
Office Products,Net Quantity,1,12.5
Office Products,Generic Name,1,12.5
Office Products,Blade Material,1,12.5
Office Products,Size,1,12.5
Outdoor Living,Brand,5,100.0
Outdoor Living,Item Form,3,60.0
Outdoor Living,Item Weight,3,60.0
Outdoor Living,Colour,2,40.0
Outdoor Living,Product Dimensions,2,40.0
Outdoor Living,Liquid Volume,2,40.0
Outdoor Living,Outer Material,1,20.0
Outdoor Living,Product Care Instructions,1,20.0
Outdoor Living,Shape,1,20.0
Outdoor Living,Fill Material,1,20.0
Outdoor Living,Scent,1,20.0
Outdoor Living,Item Volume,1,20.0
Outdoor Living,Material Feature,1,20.0
Outdoor Living,Net Quantity,1,20.0
Outdoor Living,Material,1,20.0
Outdoor Living,Target Species,1,20.0
Shoes & Handbags,Closure type,232,96.27
Shoes & Handbags,Heel type,232,96.27
Shoes & Handbags,Water resistance level,229,95.02
Shoes & Handbags,Style,229,95.02
Shoes & Handbags,Country of Origin,217,90.04
Shoes & Handbags,Sole material,212,87.97
Shoes & Handbags,Material type,208,86.31
Shoes & Handbags,Manufacturer,35,14.52
Shoes & Handbags,Outer material,33,13.69
Shoes & Handbags,Packer,6,2.49
Shoes & Handbags,Weight,5,2.07
Shoes & Handbags,Best for,4,1.66
Shoes & Handbags,Product Type,4,1.66
Shoes & Handbags,Upper Material,4,1.66
Shoes & Handbags,Shaft height,3,1.24
Shoes & Handbags,Toe style,3,1.24
Shoes & Handbags,Item Weight,2,0.83
Shoes & Handbags,Strap type,2,0.83
Shoes & Handbags,Care instructions,2,0.83
Shoes & Handbags,Intended Use,2,0.83
Shoes & Handbags,Inner material,2,0.83
Shoes & Handbags,Net Quantity,1,0.41
Shoes & Handbags,Importer,1,0.41
Shoes & Handbags,Sock Liner,1,0.41
Shoes & Handbags,Insole,1,0.41
Shoes & Handbags,Toe Support,1,0.41
Shoes & Handbags,Outsole,1,0.41
Shoes & Handbags,Grip,1,0.41
Shoes & Handbags,Breathability,1,0.41
Shoes & Handbags,Cushioning Technology,1,0.41
Shoes & Handbags,Midsole,1,0.41
Shoes & Handbags,Heel Support,1,0.41
Shoes & Handbags,Stability,1,0.41
Shoes & Handbags,Material composition,1,0.41
Shoes & Handbags,Gender,1,0.41
Shoes & Handbags,Construction,1,0.41
Shoes & Handbags,Liner,1,0.41
Shoes & Handbags,Closure Type,1,0.41
Shoes & Handbags,Traction,1,0.41
Shoes & Handbags,Fit,1,0.41
Shoes & Handbags,Cushion,1,0.41
"Sports, Fitness & Outdoors",Brand,7,70.0
"Sports, Fitness & Outdoors",Colour,6,60.0
"Sports, Fitness & Outdoors",Material,6,60.0
"Sports, Fitness & Outdoors",Item Weight,3,30.0
"Sports, Fitness & Outdoors",Country of Origin,3,30.0
"Sports, Fitness & Outdoors",Style,2,20.0
"Sports, Fitness & Outdoors",Net Quantity,2,20.0
"Sports, Fitness & Outdoors",Manufacturer,2,20.0
"Sports, Fitness & Outdoors",Care instructions,2,20.0
"Sports, Fitness & Outdoors",Size,1,10.0
"Sports, Fitness & Outdoors",Special Feature,1,10.0
"Sports, Fitness & Outdoors",Lock Type,1,10.0
"Sports, Fitness & Outdoors",Item dimensions L x W x H,1,10.0
"Sports, Fitness & Outdoors",Light Source Type,1,10.0
"Sports, Fitness & Outdoors",Specific Uses For Product,1,10.0
"Sports, Fitness & Outdoors",Item Package Quantity,1,10.0
"Sports, Fitness & Outdoors",Product Dimensions,1,10.0
"Sports, Fitness & Outdoors",Department,1,10.0
"Sports, Fitness & Outdoors",Item model number,1,10.0
"Sports, Fitness & Outdoors",ASIN,1,10.0
"Sports, Fitness & Outdoors",Packer,1,10.0
"Sports, Fitness & Outdoors",Item Dimensions LxWxH,1,10.0
"Sports, Fitness & Outdoors",Generic Name,1,10.0
"Sports, Fitness & Outdoors",Best Sellers Rank,1,10.0
"Sports, Fitness & Outdoors",Product Type,1,10.0
"Sports, Fitness & Outdoors",Battery Type,1,10.0
"Sports, Fitness & Outdoors",Display,1,10.0
"Sports, Fitness & Outdoors",Timing Accuracy,1,10.0
"Sports, Fitness & Outdoors",Functions,1,10.0
"Sports, Fitness & Outdoors",Sports Use,1,10.0
"Sports, Fitness & Outdoors",Dimensions,1,10.0
"Sports, Fitness & Outdoors",Frame Type,1,10.0
"Sports, Fitness & Outdoors",Frame Material,1,10.0
Toys & Games,Size,2,50.0
Toys & Games,Brand,2,50.0
Toys & Games,Theme,2,50.0
Toys & Games,Age Range (Description),2,50.0
Toys & Games,Toy Type,1,25.0
Toys & Games,Sound Effects,1,25.0
Toys & Games,Battery Operated,1,25.0
Toys & Games,Material,1,25.0
Toys & Games,Item Weight,1,25.0
Toys & Games,Item dimensions L x W x H,1,25.0
Toys & Games,Battery Capacity,1,25.0
Toys & Games,Charging,1,25.0
Toys & Games,Speed Modes,1,25.0
Toys & Games,Recommended Age,1,25.0
Video Games,Brand,1,100.0
Video Games,Colour,1,100.0
Video Games,Ear Placement,1,100.0
Video Games,Form Factor,1,100.0
Video Games,Impedance,1,100.0
Watches,Case diameter,149,75.25
Watches,Band colour,149,75.25
Watches,Watch movement type,149,75.25
Watches,Band material type,148,74.75
Watches,Item weight,143,72.22
Watches,Warranty type,141,71.21
Watches,Country of Origin,127,64.14
Watches,Product Type,39,19.7
Watches,Strap Material,23,11.62
Watches,Dial Color,22,11.11
Watches,Display Type,20,10.1
Watches,Water Resistance,20,10.1
Watches,Occasion,17,8.59
Watches,Strap Color,16,8.08
Watches,Movement,14,7.07
Watches,Case/Strap Material,12,6.06
Watches,Case thickness,12,6.06
Watches,Gender,11,5.56
Watches,Case Material,9,4.55
Watches,Style,7,3.54
Watches,Band Color,6,3.03
Watches,Watch Display Type,6,3.03
Watches,Manufacturer,6,3.03
Watches,Crystal,5,2.53
Watches,Design,5,2.53
Watches,Band Material,5,2.53
Watches,Case Shape,5,2.53
Watches,Watch Movement Type,5,2.53
Watches,Case Diameter,5,2.53
Watches,Water Resistance Depth,5,2.53
Watches,Date Display,5,2.53
Watches,Closure Type,4,2.02
Watches,Dial Glass Material,4,2.02
Watches,Warranty,4,2.02
Watches,Chronograph,4,2.02
Watches,24-Hour Display,3,1.52
Watches,Case Size,3,1.52
Watches,Dial Design,3,1.52
Watches,Luminous Hands/Markers,3,1.52
Watches,Pushers,3,1.52
Watches,Band width,2,1.01
Watches,Readability,2,1.01
Watches,Movement Type,2,1.01
Watches,Compass-Inspired Bezel,2,1.01
Watches,Case material type,1,0.51
Watches,Case Design,1,0.51
Watches,Gift Occasion,1,0.51
Watches,Dial Features,1,0.51
Watches,Case Color,1,0.51
Watches,Case Finish,1,0.51
Watches,Lug Width,1,0.51
Watches,Bracelet Material,1,0.51
Watches,Bracelet Color,1,0.51
Watches,Origin,1,0.51
Watches,GMT / Dual Time,1,0.51
Watches,Rotating Bezel,1,0.51
Watches,Item Shape,1,0.51
Watches,Watch Movement,1,0.51
Watches,Features,1,0.51
Watches,Case Profile,1,0.51
Watches,Packer,1,0.51
Watches,Importer,1,0.51
Watches,Crown,1,0.51
Watches,Day-Date Display,1,0.51
